FILE	EC_locus_0001.fasta	EC_locus_0002.fasta	EC_locus_0003.fasta	EC_locus_0004.fasta	EC_locus_0005.fasta	EC_locus_0006.fasta	EC_locus_0007.fasta	EC_locus_0008.fasta	EC_locus_0009.fasta	EC_locus_0010.fasta	EC_locus_0011.fasta	EC_locus_0012.fasta	EC_locus_0013.fasta	EC_locus_0014.fasta	EC_locus_0015.fasta	EC_locus_0016.fasta	EC_locus_0017.fasta	EC_locus_0018.fasta	EC_locus_0019.fasta	EC_locus_0020.fasta	EC_locus_0021.fasta	EC_locus_0022.fasta	EC_locus_0023.fasta	EC_locus_0024.fasta	EC_locus_0025.fasta	EC_locus_0026.fasta	EC_locus_0027.fasta	EC_locus_0028.fasta	EC_locus_0029.fasta	EC_locus_0030.fasta	EC_locus_0031.fasta	EC_locus_0032.fasta	EC_locus_0033.fasta	EC_locus_0034.fasta	EC_locus_0035.fasta	EC_locus_0036.fasta	EC_locus_0037.fasta	EC_locus_0038.fasta	EC_locus_0039.fasta	EC_locus_0040.fasta	EC_locus_0041.fasta	EC_locus_0042.fasta	EC_locus_0043.fasta	EC_locus_0044.fasta	EC_locus_0045.fasta	EC_locus_0046.fasta	EC_locus_0047.fasta	EC_locus_0048.fasta	EC_locus_0049.fasta	EC_locus_0050.fasta	EC_locus_0051.fasta	EC_locus_0052.fasta	EC_locus_0053.fasta	EC_locus_0054.fasta	EC_locus_0055.fasta	EC_locus_0056.fasta	EC_locus_0057.fasta	EC_locus_0058.fasta	EC_locus_0059.fasta	EC_locus_0060.fasta	EC_locus_0061.fasta	EC_locus_0062.fasta	EC_locus_0063.fasta	EC_locus_0064.fasta	EC_locus_0065.fasta	EC_locus_0066.fasta	EC_locus_0067.fasta	EC_locus_0068.fasta	EC_locus_0069.fasta	EC_locus_0070.fasta	EC_locus_0071.fasta	EC_locus_0072.fasta	EC_locus_0073.fasta	EC_locus_0074.fasta	EC_locus_0075.fasta	EC_locus_0076.fasta	EC_locus_0077.fasta	EC_locus_0078.fasta	EC_locus_0079.fasta	EC_locus_0080.fasta	EC_locus_0081.fasta	EC_locus_0082.fasta	EC_locus_0083.fasta	EC_locus_0084.fasta	EC_locus_0085.fasta	EC_locus_0086.fasta	EC_locus_0087.fasta	EC_locus_0088.fasta	EC_locus_0089.fasta	EC_locus_0090.fasta	EC_locus_0091.fasta	EC_locus_0092.fasta	EC_locus_0093.fasta	EC_locus_0094.fasta	EC_locus_0095.fasta	EC_locus_0096.fasta	EC_locus_0097.fasta	EC_locus_0098.fasta	EC_locus_0099.fasta	EC_locus_0100.fasta	EC_locus_0101.fasta	EC_locus_0102.fasta	EC_locus_0103.fasta	EC_locus_0104.fasta	EC_locus_0105.fasta	EC_locus_0106.fasta	EC_locus_0107.fasta	EC_locus_0108.fasta	EC_locus_0109.fasta	EC_locus_0110.fasta	EC_locus_0111.fasta	EC_locus_0112.fasta	EC_locus_0113.fasta	EC_locus_0114.fasta	EC_locus_0115.fasta	EC_locus_0116.fasta	EC_locus_0117.fasta	EC_locus_0118.fasta	EC_locus_0119.fasta	EC_locus_0120.fasta	EC_locus_0121.fasta	EC_locus_0122.fasta	EC_locus_0123.fasta	EC_locus_0124.fasta	EC_locus_0125.fasta	EC_locus_0126.fasta	EC_locus_0127.fasta	EC_locus_0128.fasta	EC_locus_0129.fasta	EC_locus_0130.fasta	EC_locus_0131.fasta	EC_locus_0132.fasta	EC_locus_0133.fasta	EC_locus_0134.fasta	EC_locus_0135.fasta	EC_locus_0136.fasta	EC_locus_0137.fasta	EC_locus_0138.fasta	EC_locus_0139.fasta	EC_locus_0140.fasta	EC_locus_0141.fasta	EC_locus_0142.fasta	EC_locus_0143.fasta	EC_locus_0144.fasta	EC_locus_0145.fasta	EC_locus_0146.fasta	EC_locus_0147.fasta	EC_locus_0148.fasta	EC_locus_0149.fasta	EC_locus_0150.fasta	EC_locus_0151.fasta	EC_locus_0152.fasta	EC_locus_0153.fasta	EC_locus_0154.fasta	EC_locus_0155.fasta	EC_locus_0156.fasta	EC_locus_0157.fasta	EC_locus_0158.fasta	EC_locus_0159.fasta	EC_locus_0160.fasta	EC_locus_0161.fasta	EC_locus_0162.fasta	EC_locus_0163.fasta	EC_locus_0164.fasta	EC_locus_0165.fasta	EC_locus_0166.fasta	EC_locus_0167.fasta	EC_locus_0168.fasta	EC_locus_0169.fasta	EC_locus_0170.fasta	EC_locus_0171.fasta	EC_locus_0172.fasta	EC_locus_0173.fasta	EC_locus_0174.fasta	EC_locus_0175.fasta	EC_locus_0176.fasta	EC_locus_0177.fasta	EC_locus_0178.fasta	EC_locus_0179.fasta	EC_locus_0180.fasta	EC_locus_0181.fasta	EC_locus_0182.fasta	EC_locus_0183.fasta	EC_locus_0184.fasta	EC_locus_0185.fasta	EC_locus_0186.fasta	EC_locus_0187.fasta	EC_locus_0188.fasta	EC_locus_0189.fasta	EC_locus_0190.fasta	EC_locus_0191.fasta	EC_locus_0192.fasta	EC_locus_0193.fasta	EC_locus_0194.fasta	EC_locus_0195.fasta	EC_locus_0196.fasta	EC_locus_0197.fasta	EC_locus_0198.fasta	EC_locus_0199.fasta	EC_locus_0200.fasta	EC_locus_0201.fasta	EC_locus_0202.fasta	EC_locus_0203.fasta	EC_locus_0204.fasta	EC_locus_0205.fasta	EC_locus_0206.fasta	EC_locus_0207.fasta	EC_locus_0208.fasta	EC_locus_0209.fasta	EC_locus_0210.fasta	EC_locus_0211.fasta	EC_locus_0212.fasta	EC_locus_0213.fasta	EC_locus_0214.fasta	EC_locus_0215.fasta	EC_locus_0216.fasta	EC_locus_0217.fasta	EC_locus_0218.fasta	EC_locus_0219.fasta	EC_locus_0220.fasta	EC_locus_0221.fasta	EC_locus_0222.fasta	EC_locus_0223.fasta	EC_locus_0224.fasta	EC_locus_0225.fasta	EC_locus_0226.fasta	EC_locus_0227.fasta	EC_locus_0228.fasta	EC_locus_0229.fasta	EC_locus_0230.fasta	EC_locus_0231.fasta	EC_locus_0232.fasta	EC_locus_0233.fasta	EC_locus_0234.fasta	EC_locus_0235.fasta	EC_locus_0236.fasta	EC_locus_0237.fasta	EC_locus_0238.fasta	EC_locus_0239.fasta	EC_locus_0240.fasta	EC_locus_0241.fasta	EC_locus_0242.fasta	EC_locus_0243.fasta	EC_locus_0244.fasta	EC_locus_0245.fasta	EC_locus_0246.fasta	EC_locus_0247.fasta	EC_locus_0248.fasta	EC_locus_0249.fasta	EC_locus_0250.fasta	EC_locus_0251.fasta	EC_locus_0252.fasta	EC_locus_0253.fasta	EC_locus_0254.fasta	EC_locus_0255.fasta	EC_locus_0256.fasta	EC_locus_0257.fasta	EC_locus_0258.fasta	EC_locus_0259.fasta	EC_locus_0260.fasta	EC_locus_0261.fasta	EC_locus_0262.fasta	EC_locus_0263.fasta	EC_locus_0264.fasta	EC_locus_0265.fasta	EC_locus_0266.fasta	EC_locus_0267.fasta	EC_locus_0268.fasta	EC_locus_0269.fasta	EC_locus_0270.fasta	EC_locus_0271.fasta	EC_locus_0272.fasta	EC_locus_0273.fasta	EC_locus_0274.fasta	EC_locus_0275.fasta	EC_locus_0276.fasta	EC_locus_0277.fasta	EC_locus_0278.fasta	EC_locus_0279.fasta	EC_locus_0280.fasta	EC_locus_0281.fasta	EC_locus_0282.fasta	EC_locus_0283.fasta	EC_locus_0284.fasta	EC_locus_0285.fasta	EC_locus_0286.fasta	EC_locus_0287.fasta	EC_locus_0288.fasta	EC_locus_0289.fasta	EC_locus_0290.fasta	EC_locus_0291.fasta	EC_locus_0292.fasta	EC_locus_0293.fasta	EC_locus_0294.fasta	EC_locus_0295.fasta	EC_locus_0296.fasta	EC_locus_0297.fasta	EC_locus_0298.fasta	EC_locus_0299.fasta	EC_locus_0300.fasta
ISO11.fasta	25	33	8	23	40	38	11	10	40	4	36	4	21	6	49	21	25	17	22	11	8	30	11	26	13	8	37	32	3	23	27	38	21	LNF	28	29	26	28	37	80	9	29	1	16	31	10	31	18	18	11	25	34	20	25	23	16	6	40	15	12	11	86	76	40	7	25	21	24	5	20	4	30	4	20	39	31	37	8	21	34	65	25	7	6	1	35	3	20	29	32	17	12	15	14	30	10	24	13	10	38	20	7	14	25	29	29	14	29	40	33	25	21	21	3	21	23	26	13	11	24	23	21	20	48	32	25	19	12	27	40	40	6	28	1	27	7	33	36	18	29	27	10	12	12	33	7	24	11	7	38	22	38	23	21	15	23	38	26	32	5	9	27	14	33	39	8	7	17	6	20	12	19	27	20	13	31	34	4	27	4	5	56	35	28	9	17	29	7	29	40	7	3	37	35	26	15	15	25	16	16	34	94	31	28	16	8	27	24	13	37	20	16	20	23	58	22	76	9	34	18	22	18	6	31	12	18	10	31	39	15	27	21	4	13	40	34	38	5	3	17	20	26	4	26	34	40	40	60	22	11	8	36	23	8	5	5	18	36	13	20	40	28	23	5	28	13	4	13	2	18	5	17	28	35	33	28	94	13	10	28	5	32	37	39	33	17	21	35	4	7	37	32	4	35	3	19	8	40	11	10
ISO12.fasta	25	33	8	23	40	38	11	10	40	4	36	4	21	6	19	21	25	17	22	46	8	30	11	26	13	8	37	32	3	23	27	38	21	3	28	29	26	28	37	34	9	29	1	16	31	10	31	18	18	11	25	34	20	25	23	16	6	40	15	12	11	10	24	40	7	25	21	24	5	20	4	30	4	20	LNF	31	37	8	21	34	39	25	7	6	1	35	3	20	29	53	17	12	15	14	30	10	24	13	10	38	20	7	14	25	29	29	14	29	40	33	25	21	21	3	21	23	26	13	45	24	23	21	LNF	14	32	25	19	12	27	40	40	6	28	1	27	7	33	36	18	29	27	10	12	12	33	7	24	11	7	38	22	LNF	23	21	15	23	38	26	32	5	9	27	14	33	39	8	7	17	6	20	12	19	27	20	13	31	34	4	27	4	5	50	35	28	9	17	29	7	29	40	7	3	37	35	26	15	15	25	16	16	34	39	31	28	16	8	27	24	13	37	20	16	20	23	16	22	40	9	34	18	22	18	49	31	12	18	10	31	39	15	27	21	4	13	40	34	38	5	3	17	20	26	4	26	34	40	40	9	42	11	8	36	23	8	5	5	18	36	13	20	40	28	23	5	28	13	4	13	2	18	5	17	28	35	33	28	2	13	10	28	5	32	37	39	33	17	21	35	4	7	37	32	4	35	3	19	8	40	11	10
ISO13.fasta	25	LNF	8	23	40	38	11	10	40	4	49	4	21	6	19	21	25	17	22	11	8	30	11	26	13	8	37	32	3	23	27	38	21	3	28	29	26	28	37	34	9	29	1	16	31	10	31	LNF	18	11	25	34	20	25	23	LNF	6	40	15	12	11	10	24	40	7	25	21	24	5	20	4	30	4	20	39	31	37	8	21	34	39	25	7	6	41	35	3	20	29	32	17	12	15	14	30	10	24	13	10	38	20	7	14	25	29	29	14	29	40	33	25	21	21	3	21	23	26	13	11	24	23	21	20	14	32	25	19	12	27	40	40	6	28	1	27	7	33	36	18	29	27	10	12	12	33	7	24	11	7	38	22	38	23	21	15	23	38	26	32	5	9	27	14	33	39	8	7	17	6	20	12	19	27	20	13	31	45	4	27	4	5	19	35	28	9	17	29	7	29	40	7	3	37	35	26	15	15	25	16	16	34	39	31	28	16	65	27	24	13	37	20	16	20	23	16	22	40	9	34	18	22	18	6	31	97	18	10	31	39	15	27	21	4	13	40	34	38	5	3	17	INF-105	26	4	26	34	40	40	9	22	11	8	36	23	8	5	5	18	36	13	20	40	28	23	5	28	13	4	13	2	18	5	17	28	35	33	28	2	13	10	28	5	32	37	39	33	17	21	35	4	7	37	32	4	35	3	19	8	40	11	10
ISO14.fasta	26	37	7	23	1	24	10	25	30	38	38	92	25	25	25	31	14	LNF	36	18	INF-151	13	22	25	29	40	25	10	28	14	26	2	12	17	16	40	34	6	8	13	1	22	21	11	31	22	5	39	31	1	27	15	35	30	11	30	2	4	38	24	16	36	27	35	32	19	2	1	2	50	22	16	22	38	23	5	19	34	29	4	10	4	3	7	35	13	40	28	32	20	19	83	36	23	20	27	LNF	30	40	4	32	2	14	34	23	1	30	1	18	59	10	37	7	20	22	27	33	13	24	5	4	16	29	36	6	20	29	38	35	74	17	12	4	35	12	1	12	22	18	33	22	35	1	18	31	10	4	12	35	1	36	29	40	32	15	35	18	34	5	36	28	20	34	11	11	34	4	46	27	79	25	38	34	30	44	25	35	12	2	23	23	11	15	LNF	94	38	37	40	29	19	24	27	24	10	28	24	23	33	8	32	20	18	2	18	35	17	19	34	4	40	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	21	3	32	23	35	27	21	4	4	31	89	7	20	13	18	31	27	27	2	13	35	34	21	25	5	11	40	30	30	14	INF-123	19	30	2	28	40	10	28	25	33	23	6	26	24	19	24	38	3	5	5	12	3	24	18	4	36	4	33	21	40	32	21	3	28	18	24	20	31	2	30	7	38	35	8	12
ISO15.fasta	26	37	7	58	1	24	10	25	30	38	38	11	25	25	25	31	14	17	36	18	32	13	22	25	29	40	25	10	28	14	26	LNF	12	17	16	40	34	6	8	13	1	22	21	11	31	22	5	39	31	1	27	15	35	30	11	30	2	4	38	24	16	36	27	35	32	19	2	1	2	33	22	16	22	38	23	5	19	34	29	4	10	4	3	7	35	13	40	28	32	20	19	24	36	23	20	76	25	30	40	4	32	2	14	34	23	1	30	1	18	14	10	37	7	20	22	27	33	13	24	5	4	16	29	36	63	20	29	38	35	14	17	12	4	35	12	1	12	22	18	44	22	35	1	18	31	10	4	12	35	1	36	29	40	32	LNF	35	18	34	5	36	28	20	34	11	11	34	4	35	27	13	25	38	34	84	23	25	35	12	2	23	23	11	15	7	36	38	37	40	29	19	24	27	24	99	28	24	23	33	8	32	20	18	2	18	35	17	19	34	4	40	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	21	3	32	23	35	27	21	4	4	53	11	7	20	LNF	49	31	27	27	2	77	35	34	21	25	5	11	40	30	30	14	23	19	30	2	28	40	10	28	25	33	23	6	26	24	19	24	38	3	5	96	87	3	24	18	4	36	4	33	21	40	32	21	3	28	18	24	20	31	2	30	7	38	35	8	12
ISO16.fasta	26	37	54	23	1	24	10	25	30	38	38	11	25	25	25	31	14	17	36	18	32	13	22	25	29	40	25	10	28	14	26	2	12	17	16	40	34	6	8	13	1	22	21	11	31	22	5	39	31	1	27	15	35	30	11	30	2	4	38	24	16	36	27	35	32	19	2	1	2	33	22	16	22	38	23	5	19	34	29	4	10	4	51	7	35	13	40	28	32	20	19	24	36	23	20	27	25	30	40	4	32	2	14	LNF	85	1	30	1	18	14	10	37	7	20	22	27	70	13	24	5	4	16	29	36	6	20	29	38	35	14	17	12	4	35	12	1	12	22	18	33	22	35	1	18	31	10	4	12	35	1	36	29	40	32	15	76	18	34	5	36	28	20	34	11	11	48	4	35	27	13	25	38	34	30	23	25	35	12	2	23	23	11	15	7	36	38	37	40	29	19	24	27	24	10	28	24	23	33	8	32	20	18	2	18	35	17	19	34	4	59	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	48	3	32	23	35	27	21	4	4	31	11	7	20	13	18	31	27	56	2	13	93	34	21	25	92	11	40	30	30	14	23	19	97	2	28	40	10	28	25	33	23	6	26	24	19	24	38	3	5	5	12	3	24	18	4	36	4	33	21	40	32	21	93	28	18	24	20	31	2	30	7	38	35	8	12
ISO17.fasta	26	37	7	23	1	24	10	25	30	38	38	11	25	25	25	31	14	17	36	18	32	13	22	71	29	40	25	10	28	14	26	2	12	17	16	40	34	6	8	LNF	1	22	21	11	31	22	5	39	31	1	27	15	35	30	11	30	2	4	38	24	16	36	27	35	32	19	2	1	2	LNF	22	16	22	38	23	5	19	34	29	4	10	4	3	7	35	13	40	28	32	20	19	24	36	23	20	27	25	LNF	40	4	32	2	14	34	23	1	30	1	18	14	10	37	7	20	22	27	33	13	24	5	4	16	29	36	93	20	29	38	35	14	17	12	4	35	12	1	12	22	18	33	22	35	1	18	96	10	4	12	35	1	36	29	40	32	15	35	18	34	5	36	28	20	34	11	11	34	4	35	27	13	25	38	34	30	23	25	35	12	2	23	23	11	15	7	36	38	37	40	29	19	24	27	24	10	28	24	23	33	8	32	20	18	2	18	35	17	19	34	4	40	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	21	3	32	23	35	27	21	4	4	31	11	7	LNF	13	18	31	27	27	2	13	35	34	21	56	5	11	40	30	30	14	23	19	30	2	79	40	10	28	86	33	23	6	26	24	19	24	61	3	5	5	12	3	24	18	4	36	4	33	21	58	32	21	3	28	57	24	20	31	2	30	50	38	35	8	12
ISO18.fasta	26	37	7	90	1	24	10	25	30	38	38	11	87	25	53	31	14	17	36	18	32	13	22	25	29	40	25	10	28	14	26	2	12	17	16	40	34	6	8	13	1	22	21	11	31	22	5	39	31	1	27	15	35	51	11	30	2	4	38	86	16	36	27	35	32	19	2	1	2	47	22	16	22	38	23	LNF	19	34	29	4	10	4	3	7	35	13	40	28	32	20	19	24	36	23	20	27	25	30	40	4	32	2	14	34	23	1	97	1	18	14	10	37	7	20	22	27	33	13	24	5	4	16	29	36	6	20	29	38	35	14	17	12	4	35	12	1	12	22	INF-101	33	22	80	1	18	31	10	4	12	INF-170	1	69	29	40	32	90	35	18	34	5	36	28	20	99	11	11	34	4	35	27	13	25	38	34	30	23	25	35	12	2	23	23	11	15	7	36	38	37	40	29	19	24	27	24	10	LNF	24	23	33	8	32	20	18	2	18	84	17	19	34	4	40	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	21	3	32	23	35	27	21	4	4	31	11	7	20	13	77	31	27	27	2	13	35	34	21	25	5	11	40	30	30	14	23	19	30	2	28	40	10	28	25	33	23	6	26	24	19	24	38	3	5	5	12	3	24	18	4	36	4	INF-178	21	40	32	21	3	28	18	24	20	31	2	30	7	38	35	8	12
ISO19.fasta	37	4	36	3	31	40	6	39	90	6	27	26	39	36	21	7	30	21	44	INF-155	23	24	39	16	10	17	25	18	28	30	34	22	29	1	3	19	28	4	13	6	2	8	31	15	6	39	21	30	1	17	14	4	23	37	19	11	13	39	29	12	5	32	20	26	22	28	38	34	11	18	20	17	25	14	25	12	18	13	37	14	18	9	11	22	12	28	13	6	34	5	4	37	6	36	3	34	12	20	33	5	39	19	35	10	22	25	15	20	22	9	35	25	12	29	18	40	13	24	23	6	20	12	39	21	17	23	30	3	19	LNF	12	29	33	27	1	39	13	19	5	1	29	33	26	17	15	25	37	31	18	34	6	35	15	30	24	31	52	31	11	38	43	21	3	36	29	5	29	38	29	24	13	30	8	24	20	35	35	23	30	36	4	24	21	27	16	37	19	21	10	15	25	39	28	1	5	16	26	30	2	4	6	30	27	8	15	31	25	27	15	7	34	5	2	5	22	66	3	26	25	12	18	15	3	26	16	5	15	17	30	17	3	11	20	91	39	35	35	8	28	25	7	33	34	35	6	36	9	40	7	30	16	38	17	14	6	2	10	35	39	33	3	2	8	31	2	29	21	11	30	21	9	28	22	19	26	27	17	30	12	33	2	34	25	22	1	19	34	64	39	30	20	17	29	18	17	3	8	29	17	9
ISO20.fasta	37	4	36	3	31	40	6	39	28	6	27	26	39	36	21	7	30	21	39	29	23	24	39	16	10	17	25	18	28	30	34	22	29	1	3	19	28	4	13	6	2	8	31	62	6	39	21	30	1	17	14	4	23	37	19	11	13	39	29	12	5	32	20	26	22	28	38	34	11	60	20	17	25	14	25	12	18	13	37	14	18	9	11	22	12	28	13	6	34	5	4	37	83	36	3	34	12	20	33	5	39	19	35	10	22	INF-146	15	20	22	9	35	25	INF-110	29	18	40	13	24	23	51	20	12	39	21	17	23	30	3	19	12	12	29	33	27	1	39	13	19	5	1	29	33	26	17	15	25	37	31	18	34	6	35	15	30	24	31	70	31	11	38	27	21	3	36	29	5	29	87	55	24	13	30	8	24	20	35	LNF	45	30	36	4	24	21	27	16	37	19	21	10	15	25	39	28	1	5	16	63	30	2	4	6	30	27	8	15	31	25	27	15	7	34	5	2	5	22	4	3	26	25	12	18	15	3	26	16	5	INF-110	17	30	17	3	11	20	6	39	35	35	8	28	25	7	33	34	35	6	36	9	40	7	30	71	88	17	14	6	2	10	35	39	33	3	2	8	31	2	29	21	11	30	21	9	28	22	19	26	27	17	30	12	33	2	34	25	22	1	19	34	LNF	39	30	20	17	29	18	17	3	8	29	17	9
GCF_000005845.2.fasta	26	37	7	23	1	24	10	25	30	38	38	11	25	70	25	31	14	17	36	18	32	13	22	25	29	40	25	10	28	14	26	2	12	17	16	40	34	6	8	13	1	22	21	11	31	22	5	39	LNF	1	27	15	35	30	11	30	2	4	38	24	16	36	27	35	32	67	2	1	2	33	22	16	22	38	23	5	19	34	29	4	10	4	3	7	35	13	40	28	32	20	19	LNF	36	23	20	27	25	30	40	4	32	2	14	34	92	1	30	1	18	14	10	37	7	20	22	27	33	13	24	5	4	LNF	45	36	6	20	29	38	35	14	17	12	4	35	12	1	LNF	LNF	18	33	22	35	1	18	31	10	4	12	35	1	36	76	40	32	15	35	18	34	5	36	28	20	34	11	11	34	4	35	27	13	25	38	34	30	23	25	35	12	2	23	23	11	15	7	36	38	37	40	29	19	24	27	24	10	28	24	23	33	8	32	20	18	2	18	35	17	83	34	4	40	33	5	1	23	34	32	38	39	14	6	27	32	5	7	34	21	3	32	23	35	27	21	4	4	31	11	7	20	13	18	31	27	27	2	13	LNF	69	21	25	5	11	40	30	30	14	23	19	30	2	28	40	10	28	25	33	23	6	26	24	86	24	38	3	5	5	12	3	24	18	4	36	4	33	21	40	32	21	3	28	18	24	20	31	2	30	7	38	35	8	12
GCF_000010485.1.fasta	11	32	35	38	14	18	9	11	34	12	10	7	26	5	21	26	31	18	25	26	7	22	12	31	13	21	39	22	12	4	7	36	9	2	37	31	6	33	35	18	12	35	2	16	12	5	36	5	55	40	17	14	29	17	34	24	20	16	10	39	34	31	6	27	22	26	13	8	21	18	18	3	25	16	28	3	33	10	24	28	37	37	22	11	28	24	39	25	17	43	29	15	34	7	39	7	57	1	8	29	2	27	14	11	4	30	40	31	22	7	6	11	38	30	21	1	32	19	11	17	1	5	11	19	26	80	19	15	15	34	17	21	28	22	26	16	20	10	10	5	17	19	17	29	19	11	21	26	14	4	14	25	23	24	2	92	99	3	4	5	20	30	1	35	29	30	38	32	24	18	11	16	28	37	31	40	6	6	21	1	INF-130	2	24	23	16	31	33	16	12	20	10	9	4	24	12	40	31	2	40	6	7	10	33	23	3	20	35	25	26	8	17	22	30	20	16	20	34	35	7	26	27	39	5	36	76	36	36	2	40	10	12	69	22	25	40	19	11	3	23	5	29	29	15	20	27	31	59	35	25	14	12	6	28	25	29	18	18	40	13	23	23	40	12	6	30	30	14	3	26	40	19	11	10	36	13	40	2	7	5	20	18	20	97	38	9	22	17	6	33	31	6	40	35	29	16	24	3	31	11	25
