Genome_ID	seqID	family	cluster	isBegin	isEnd	isLen	ncopy4is	type
ISO02	contig_1	IS30	c1	100	1400	1300	1	c
ISO02	contig_1	IS30	c1	100	1400	1300	1	c
ISO02	contig_1	IS66	c1	100	1400	1300	1	c
ISO02	contig_1	IS66	c1	100	1400	1300	1	c
ISO02	contig_1	IS110	c1	100	1400	1300	1	c
ISO02	contig_1	IS110	c1	100	1400	1300	1	c
ISO03	contig_1	IS3	c1	100	1400	1300	1	c
ISO03	contig_1	IS3	c1	100	1400	1300	1	c
ISO03	contig_1	IS3	c1	100	1400	1300	1	c
ISO03	contig_1	IS30	c1	100	1400	1300	1	c
ISO03	contig_1	IS30	c1	100	1400	1300	1	c
ISO03	contig_1	IS66	c1	100	1400	1300	1	c
ISO03	contig_1	IS66	c1	100	1400	1300	1	c
ISO03	contig_1	IS66	c1	100	1400	1300	1	c
ISO03	contig_1	IS66	c1	100	1400	1300	1	c
ISO03	contig_1	IS66	c1	100	1400	1300	1	c
ISO03	contig_1	IS110	c1	100	1400	1300	1	c
ISO03	contig_1	IS110	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS1	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO04	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS1	c1	100	1400	1300	1	c
ISO05	contig_1	IS1	c1	100	1400	1300	1	c
ISO05	contig_1	IS1	c1	100	1400	1300	1	c
ISO05	contig_1	IS1	c1	100	1400	1300	1	c
ISO05	contig_1	IS1	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS3	c1	100	1400	1300	1	c
ISO05	contig_1	IS30	c1	100	1400	1300	1	c
ISO05	contig_1	IS30	c1	100	1400	1300	1	c
ISO05	contig_1	IS66	c1	100	1400	1300	1	c
ISO05	contig_1	IS66	c1	100	1400	1300	1	c
ISO05	contig_1	IS66	c1	100	1400	1300	1	c
ISO05	contig_1	IS110	c1	100	1400	1300	1	c
ISO05	contig_1	IS110	c1	100	1400	1300	1	c
ISO05	contig_1	IS110	c1	100	1400	1300	1	c
ISO06	contig_1	IS1	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS3	c1	100	1400	1300	1	c
ISO06	contig_1	IS30	c1	100	1400	1300	1	c
ISO06	contig_1	IS30	c1	100	1400	1300	1	c
ISO06	contig_1	IS30	c1	100	1400	1300	1	c
ISO06	contig_1	IS110	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS1	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS3	c1	100	1400	1300	1	c
ISO07	contig_1	IS30	c1	100	1400	1300	1	c
ISO07	contig_1	IS30	c1	100	1400	1300	1	c
ISO07	contig_1	IS30	c1	100	1400	1300	1	c
ISO07	contig_1	IS66	c1	100	1400	1300	1	c
ISO07	contig_1	IS66	c1	100	1400	1300	1	c
ISO07	contig_1	IS66	c1	100	1400	1300	1	c
ISO07	contig_1	IS66	c1	100	1400	1300	1	c
ISO07	contig_1	IS110	c1	100	1400	1300	1	c
ISO07	contig_1	IS110	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS1	c1	100	1400	1300	1	c
ISO08	contig_1	IS3	c1	100	1400	1300	1	c
ISO08	contig_1	IS3	c1	100	1400	1300	1	c
ISO08	contig_1	IS3	c1	100	1400	1300	1	c
ISO08	contig_1	IS3	c1	100	1400	1300	1	c
ISO08	contig_1	IS30	c1	100	1400	1300	1	c
ISO08	contig_1	IS30	c1	100	1400	1300	1	c
ISO08	contig_1	IS110	c1	100	1400	1300	1	c
ISO09	contig_1	IS3	c1	100	1400	1300	1	c
ISO10	contig_1	IS1	c1	100	1400	1300	1	c
ISO10	contig_1	IS1	c1	100	1400	1300	1	c
ISO10	contig_1	IS1	c1	100	1400	1300	1	c
ISO10	contig_1	IS1	c1	100	1400	1300	1	c
ISO10	contig_1	IS3	c1	100	1400	1300	1	c
ISO10	contig_1	IS30	c1	100	1400	1300	1	c
ISO10	contig_1	IS110	c1	100	1400	1300	1	c
ISO11	contig_1	IS1	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS3	c1	100	1400	1300	1	c
ISO11	contig_1	IS110	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS3	c1	100	1400	1300	1	c
ISO12	contig_1	IS30	c1	100	1400	1300	1	c
ISO12	contig_1	IS30	c1	100	1400	1300	1	c
ISO13	contig_1	IS1	c1	100	1400	1300	1	c
ISO13	contig_1	IS1	c1	100	1400	1300	1	c
ISO13	contig_1	IS1	c1	100	1400	1300	1	c
ISO13	contig_1	IS3	c1	100	1400	1300	1	c
ISO13	contig_1	IS30	c1	100	1400	1300	1	c
ISO14	contig_1	IS1	c1	100	1400	1300	1	c
ISO14	contig_1	IS1	c1	100	1400	1300	1	c
ISO14	contig_1	IS3	c1	100	1400	1300	1	c
ISO14	contig_1	IS30	c1	100	1400	1300	1	c
ISO14	contig_1	IS66	c1	100	1400	1300	1	c
ISO15	contig_1	IS1	c1	100	1400	1300	1	c
ISO15	contig_1	IS1	c1	100	1400	1300	1	c
ISO15	contig_1	IS3	c1	100	1400	1300	1	c
ISO15	contig_1	IS3	c1	100	1400	1300	1	c
ISO15	contig_1	IS30	c1	100	1400	1300	1	c
ISO15	contig_1	IS30	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS1	c1	100	1400	1300	1	c
ISO16	contig_1	IS3	c1	100	1400	1300	1	c
ISO16	contig_1	IS3	c1	100	1400	1300	1	c
ISO16	contig_1	IS30	c1	100	1400	1300	1	c
ISO17	contig_1	IS1	c1	100	1400	1300	1	c
ISO17	contig_1	IS1	c1	100	1400	1300	1	c
ISO17	contig_1	IS1	c1	100	1400	1300	1	c
ISO17	contig_1	IS1	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS3	c1	100	1400	1300	1	c
ISO17	contig_1	IS66	c1	100	1400	1300	1	c
ISO18	contig_1	IS3	c1	100	1400	1300	1	c
ISO18	contig_1	IS3	c1	100	1400	1300	1	c
ISO18	contig_1	IS3	c1	100	1400	1300	1	c
ISO18	contig_1	IS30	c1	100	1400	1300	1	c
ISO18	contig_1	IS30	c1	100	1400	1300	1	c
ISO18	contig_1	IS30	c1	100	1400	1300	1	c
ISO18	contig_1	IS66	c1	100	1400	1300	1	c
ISO18	contig_1	IS66	c1	100	1400	1300	1	c
ISO19	contig_1	IS1	c1	100	1400	1300	1	c
ISO19	contig_1	IS1	c1	100	1400	1300	1	c
ISO19	contig_1	IS1	c1	100	1400	1300	1	c
ISO19	contig_1	IS3	c1	100	1400	1300	1	c
ISO19	contig_1	IS3	c1	100	1400	1300	1	c
ISO19	contig_1	IS3	c1	100	1400	1300	1	c
ISO20	contig_1	IS1	c1	100	1400	1300	1	c
ISO20	contig_1	IS1	c1	100	1400	1300	1	c
ISO20	contig_1	IS1	c1	100	1400	1300	1	c
ISO20	contig_1	IS1	c1	100	1400	1300	1	c
ISO20	contig_1	IS3	c1	100	1400	1300	1	c
ISO20	contig_1	IS3	c1	100	1400	1300	1	c
ISO20	contig_1	IS66	c1	100	1400	1300	1	c
ISO20	contig_1	IS110	c1	100	1400	1300	1	c
ISO20	contig_1	IS110	c1	100	1400	1300	1	c
