clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz	/work/reads/S17.clean_1.fastq.gz	/work/reads/S18.clean_1.fastq.gz	/work/reads/S19.clean_1.fastq.gz	/work/reads/S20.clean_1.fastq.gz	/work/reads/S21.clean_1.fastq.gz	/work/reads/S22.clean_1.fastq.gz	/work/reads/S23.clean_1.fastq.gz	/work/reads/S24.clean_1.fastq.gz
d__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.61648	0.40028	1.04855	0.37708	1.46321	0.57672	0.49923	0.2994	1.3972	0.89322	1.22807	0.48258	0	0.40829	0.5216	0.42577	0.62203	0.967	0	0.12808	0.34465	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.15149	0.64433	1.01408	0.86857	0.41791	1.06323	1.9294	0.63117	1.10314	1.0464	0.71852	0.25809	1.05475	0.4202	1.28463	0.196	1.3503	0.85862	6.13351	2.72273	3.32899	7.74934	5.09093	4.78257
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	82.09183	89.3148	85.66692	80.21028	88.2096	88.36474	87.84305	84.52889	86.93488	77.98077	77.49027	84.13132	69.86512	78.18542	84.38029	85.78938	75.77993	79.69837	69.33039	64.12865	85.77905	83.18131	73.54407	68.91365
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales	12.1122	7.00448	7.55995	12.86472	6.59296	3.93649	6.30687	10.26774	5.77046	14.15534	14.40859	9.96935	19.38422	15.71644	9.44969	4.61448	13.42564	12.43843	20.62549	28.41561	6.73054	2.28066	12.69094	20.66843
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales	1.72273	0.62432	1.78608	0.35592	0.75006	1.12541	0.58314	0.64747	0.85748	1.05621	1.5056	1.51923	0.54086	0.97117	0.80849	1.02221	0	1.12074	0	0	0	0.04832	0.17914	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales	1.21373	0.94959	0.62464	3.13341	1.15463	1.49503	1.36983	1.89186	0.68567	1.61713	1.61833	1.00114	1.08565	1.78255	1.83834	2.26124	1.58422	1.5834	0	0.07989	0	0.12259	0.61317	0.14424
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales	1.18409	0.49382	0.62006	1.2395	0.68534	1.33819	0.32864	0.39613	1.21596	1.37827	1.50366	0.68705	4.45183	1.03247	0.832	1.6586	4.27612	1.26336	1.12175	0.93834	0	0.54429	0.83699	0.37882
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales	0.0869	0.03396	0.33039	0.37467	0.16314	0.07152	0	0.32933	0.18477	0.17827	0.19213	0.63675	0.50691	0	0.15704	0.09107	0.25221	0.30344	0	0	0	0	0.03773	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales	0	0	0	0	0	0	0	0	0.03365	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	0.61648	0.40028	1.04855	0.37708	1.46321	0.57672	0.49923	0.2994	1.3972	0.89322	1.22807	0.48258	0	0.40829	0.5216	0.42577	0.62203	0.967	0	0.12808	0.34465	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	0.15149	0.1313	0.26942	0.44414	0.31178	0.59372	0.19581	0	0.43176	0.51916	0.11512	0	0.56805	0.14795	0.51129	0	0.71797	0	3.33336	2.72273	2.06851	5.90224	2.567	1.55302
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales	0	0.51303	0.74466	0.42443	0.10613	0.46951	1.73359	0.63117	0.67139	0.52725	0.6034	0.25809	0.4867	0.27225	0.77333	0.196	0.63233	0.85862	2.80015	0	1.26048	1.8471	2.52393	3.22955
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	79.88372	88.82178	83.867	78.77041	86.04815	86.89654	86.54705	82.79232	83.5466	75.85823	75.18938	82.75241	64.4758	76.12322	81.41769	83.34023	71.386	77.55521	58.46	58.28111	78.31277	79.99277	65.4783	51.59001
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	1.39473	0.41173	0.66912	0.58762	1.48843	0.45175	0.53392	1.62439	2.55033	1.36035	2.0174	0.81603	1.4237	1.10452	1.5591	2.12581	2.73614	0.94562	9.36992	5.84754	7.32132	3.10472	6.63723	15.80973
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.30672	0.08129	0.74167	0.43672	0.28936	0.0655	0.22641	0.11219	0.21391	0.14857	0.28348	0.12798	3.8262	0.52133	1.19319	0.20942	0.95441	1.19754	1.14697	0	0	0	1.21704	1.13837
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.50668	0	0.38913	0.41553	0.38366	0.95095	0.53567	0	0.62404	0.61361	0	0.4349	0.13942	0.43635	0.21031	0.11391	0.70338	0	0.3535	0	0.14497	0.08381	0.21151	0.37555
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	11.90655	6.63886	6.9968	12.66106	6.42547	3.93649	5.91884	9.49519	5.77046	13.83491	13.99492	9.70413	19.17766	15.41471	8.97106	3.60839	11.56762	11.86303	7.8701	23.5609	4.85384	1.33425	4.24945	2.34024
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae	0.28784	0.33055	0.80529	0.13938	0.33468	0	0.07538	0.14547	0.25774	0.42874	0.53767	1.22017	0.39894	0.85668	0.54767	0.71911	0	0.30158	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae	1.43489	0.29377	0.98079	0.21653	0.41537	1.12541	0.50776	0.502	0.59975	0.62748	0.96793	0.29906	0.14192	0.11449	0.26082	0.30309	0	0.81917	0	0	0	0.04832	0.17914	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.20564	0.36562	0.56316	0.20367	0.16749	0	0.38802	0.77255	0	0.32043	0.41367	0.26523	0.20656	0.30173	0.47864	1.00609	1.85802	0.5754	12.75539	4.85472	1.87669	0.9464	8.44149	18.32819
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	1.21373	0.94959	0.62464	3.13341	1.15463	1.49503	1.36983	1.89186	0.68567	1.61713	1.61833	1.00114	1.08565	1.78255	1.83834	2.26124	1.58422	1.5834	0	0.07989	0	0.12259	0.61317	0.14424
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae	0.20546	0.2444	0.39261	0.58506	0.15026	0.90354	0.19929	0.1007	0.42509	0.05651	1.32943	0.17826	2.38059	0.4418	0.60411	0.53073	2.03335	0.90982	1.02309	0.80623	0	0.50632	0.43409	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae	0.97862	0.24942	0.22746	0.65444	0.53509	0.43465	0.12934	0.29543	0.79088	1.32176	0.17424	0.50878	2.07124	0.59067	0.22789	1.12786	2.24277	0.35354	0.09867	0.13212	0	0.03797	0.4029	0.37882
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.0869	0.03396	0.33039	0.37467	0.16314	0.07152	0	0.32933	0.18477	0.17827	0.19213	0.63675	0.50691	0	0.15704	0.09107	0.25221	0.30344	0	0	0	0	0.03773	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	0	0	0	0	0	0	0	0	0.03365	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae	0.61648	0.40028	1.04855	0.37708	1.46321	0.57672	0.49923	0.2994	1.3972	0.89322	1.22807	0.48258	0	0.40829	0.5216	0.42577	0.62203	0.967	0	0.12808	0.34465	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.15149	0.1313	0.26942	0.44414	0.31178	0.59372	0.19581	0	0.43176	0.51916	0.11512	0	0.56805	0.14795	0.51129	0	0.71797	0	3.33336	2.72273	2.06851	5.90224	2.567	1.55302
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0	0.51303	0.74466	0.42443	0.10613	0.46951	1.73359	0.63117	0.67139	0.52725	0.6034	0.25809	0.4867	0.27225	0.77333	0.196	0.63233	0.85862	2.80015	0	1.26048	1.8471	2.52393	3.22955
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	6.94471	33.1518	22.99736	35.53232	34.01548	36.93057	46.60873	40.78409	33.12708	23.20166	28.68605	51.19678	30.75337	23.51611	37.69335	38.82751	41.34193	26.83131	23.70632	21.03832	8.14606	66.27296	33.23585	25.64321
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	63.00548	54.16112	56.08776	36.09775	45.36541	42.65409	38.63457	23.30431	39.16157	43.44652	38.54421	24.66108	26.56725	43.67593	41.05469	42.28825	23.04938	39.31423	24.45772	32.68133	64.30984	11.95722	23.96577	23.7731
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum	0.83215	0	1.03098	4.14767	0.89346	0.53961	0.58452	0.78175	1.9816	0.98336	1.74184	1.23945	1.52658	5.28431	1.36487	0.4933	0.70147	2.21233	1.54982	3.70531	2.4602	0	0.90605	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-485	9.10138	1.50886	3.7509	2.99267	5.77381	6.77228	0.71923	17.92217	9.27635	8.22669	6.21728	5.6551	5.6286	3.64688	1.30479	1.73119	6.29321	9.19733	8.74614	0.85615	3.39667	1.76259	7.37064	2.1737
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1.39473	0.35787	0.62341	0.39988	1.48843	0.39378	0.53392	1.62439	2.55033	1.3196	2.0174	0.7639	1.4237	0.87866	1.48074	2.08052	2.73614	0.84149	9.36992	5.84754	7.32132	3.09464	6.63723	15.80973
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	0	0.05386	0.04571	0.18774	0	0.05798	0	0	0	0.04075	0	0.05213	0	0.22586	0.07836	0.0453	0	0.10413	0	0	0	0.01008	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.30672	0.08129	0.74167	0.43672	0.28936	0.0655	0.22641	0.11219	0.21391	0.14857	0.28348	0.12798	3.8262	0.52133	1.19319	0.20942	0.95441	1.19754	1.14697	0	0	0	1.21704	1.13837
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.50668	0	0.38913	0.41553	0.38366	0.95095	0.53567	0	0.62404	0.61361	0	0.4349	0.13942	0.43635	0.21031	0.11391	0.70338	0	0.3535	0	0.14497	0.08381	0.21151	0.37555
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	8.23644	4.72732	4.41212	2.74344	5.71142	2.4864	4.25289	3.10493	2.9959	3.54999	6.66066	7.47343	16.09594	11.37211	4.77299	2.07854	6.93528	8.44756	4.80948	23.5609	2.71418	0.54989	3.25763	0.88929
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	0.12406	0	0.19021	0.66276	0	0.20446	0	0.20766	0.41538	0.14771	0	0.42809	0.04533	0.11616	0.03249	0	0.12887	0	0	0	0	0	0.04766	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	3.54606	1.91154	2.39447	9.25486	0.71405	1.24563	1.66596	6.1826	2.35918	10.13721	7.33427	1.8026	3.03639	3.92644	4.16558	1.52985	4.50347	3.41547	3.06062	0	2.13966	0.78436	0.94416	1.45095
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter	0.28784	0.33055	0.80529	0.13938	0.33468	0	0.07538	0.14547	0.25774	0.42874	0.53767	1.22017	0.39894	0.85668	0.54767	0.71911	0	0.30158	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella	1.10571	0.18847	0.41747	0.06936	0.26306	0.2178	0.04832	0.11381	0	0.62748	0.38136	0.19659	0	0.0775	0.26082	0.25047	0	0.64976	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum	0.32918	0.1053	0.56331	0.14717	0.15231	0.9076	0.45944	0.38819	0.59975	0	0.58657	0.10247	0.14192	0.03699	0	0.05263	0	0.16941	0	0	0	0.04832	0.17914	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0.20564	0.36562	0.56316	0.20367	0.16749	0	0.38802	0.77255	0	0.32043	0.41367	0.26523	0.20656	0.30173	0.47864	1.00609	1.85802	0.5754	12.75539	4.85472	1.87669	0.9464	8.44149	18.32819
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136	0.69614	0.02735	0.1432	0.54779	0.1309	0.67804	0.2187	0.18692	0	0.2368	0.30149	0.24114	0	0.27704	0.39475	0.13371	0.41272	0.40718	0	0.03044	0	0	0.01853	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia	0.15307	0.19684	0.16954	0.43013	0.43957	0.37478	0.0962	0.10283	0.16206	0.40157	0.224	0	0.13306	0.22252	0.61304	0.23372	0.20555	0.25318	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia	0.04785	0.48138	0	0.98912	0.03168	0.23441	0.12789	0.95321	0.26183	0.42017	0.17961	0.15232	0.637	0.38336	0.16117	1.49437	0.31538	0.86855	0	0.04945	0	0	0.41745	0.14424
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor	0.10906	0.07722	0.3119	0	0.04071	0.06755	0	0.21235	0.19301	0.13748	0.29125	0.1799	0.1075	0	0.37796	0.32563	0.2661	0.05449	0	0	0	0.12259	0.17719	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix	0.18819	0.16681	0	1.16637	0.51177	0.07563	0.91718	0.43071	0	0.34648	0.62197	0.42779	0.20809	0.89964	0.2447	0.07381	0.38447	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella	0.01943	0	0	0	0	0.06463	0.00986	0.00584	0.06877	0.07463	0	0	0	0	0.04671	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter	0.20546	0.2444	0.39261	0.58506	0.12692	0.87189	0.19929	0	0.42509	0	1.32943	0.17826	2.38059	0.43178	0.54549	0.53073	2.03335	0.90982	1.02309	0.80623	0	0.50632	0.43409	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Flavonifractor	0	0	0	0	0.02333	0.03165	0	0.1007	0	0.05651	0	0	0	0.01002	0.05862	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus	0.11093	0.08116	0.08663	0.17323	0.19946	0	0.12934	0.1602	0.47301	0.35127	0.17424	0.50878	0.37405	0.3803	0.08023	0	0.13557	0.13164	0.09867	0.13212	0	0.03797	0	0.15245
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus	0.8677	0.16825	0.14082	0.4812	0.33563	0.43465	0	0.13523	0.31787	0.97049	0	0	1.69719	0.21037	0.14767	1.12786	2.10721	0.2219	0	0	0	0	0.4029	0.22637
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.0869	0.03396	0.33039	0.37467	0.16314	0.07152	0	0.32933	0.18477	0.17827	0.19213	0.63675	0.50691	0	0.15704	0.09107	0.25221	0.30344	0	0	0	0	0.03773	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium	0	0	0	0	0	0	0	0	0.03365	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia	0.43194	0.06692	0.09789	0.10933	0.04702	0.18683	0.1487	0.17716	1.08476	0.2687	0.24653	0.09747	0	0.11133	0.06748	0.07344	0.37254	0.17332	0	0	0.34465	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus	0.18454	0.33337	0.95066	0.26776	1.41619	0.38989	0.35053	0.12224	0.31244	0.62452	0.98154	0.38511	0	0.29696	0.45413	0.35233	0.24948	0.79367	0	0.12808	0	0.10227	1.17567	0
