Sample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method
ISO05	ISO05_3	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO05	ISO05_4	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO05	ISO05_5	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO05	ISO05_6	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO06	ISO06_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO06	ISO06_2	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO06	ISO06_3	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO06	ISO06_4	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO06	ISO06_5	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO06	ISO06_6	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO07	ISO07_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO07	ISO07_2	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO07	ISO07_3	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO07	ISO07_4	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO07	ISO07_5	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO08	ISO08_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO08	ISO08_2	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO08	ISO08_3	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO08	ISO08_4	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO08	ISO08_5	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO08	ISO08_6	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO08	ISO08_7	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO08	ISO08_8	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO09	ISO09_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO09	ISO09_2	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO10	ISO10_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO10	ISO10_2	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO10	ISO10_3	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO10	ISO10_4	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO11	ISO11_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO11	ISO11_2	contig_1	100	900	+	mph(A)	resistance gene	core	AMR	AMR	MACROLIDE		EXACTX
ISO11	ISO11_3	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO12	ISO12_1	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO12	ISO12_2	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO13	ISO13_1	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO14	ISO14_1	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO14	ISO14_2	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO14	ISO14_3	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO14	ISO14_4	contig_1	100	900	+	tet(B)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO14	ISO14_5	contig_1	100	900	+	qnrS1	resistance gene	core	AMR	AMR	QUINOLONE		EXACTX
ISO14	ISO14_6	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO15	ISO15_1	contig_1	100	900	+	blaCTX-M-15	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO15	ISO15_2	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO15	ISO15_3	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO15	ISO15_4	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO15	ISO15_5	contig_1	100	900	+	floR	resistance gene	core	AMR	AMR	PHENICOL		EXACTX
ISO15	ISO15_6	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO16	ISO16_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO16	ISO16_2	contig_1	100	900	+	floR	resistance gene	core	AMR	AMR	PHENICOL		EXACTX
ISO16	ISO16_3	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO17	ISO17_1	contig_1	100	900	+	blaTEM-1	resistance gene	core	AMR	AMR	BETA-LACTAM		EXACTX
ISO17	ISO17_2	contig_1	100	900	+	aac(6')-Ib-cr	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE/QUINOLONE		EXACTX
ISO17	ISO17_3	contig_1	100	900	+	aadA5	resistance gene	core	AMR	AMR	AMINOGLYCOSIDE		EXACTX
ISO17	ISO17_4	contig_1	100	900	+	dfrA17	resistance gene	core	AMR	AMR	TRIMETHOPRIM		EXACTX
ISO17	ISO17_5	contig_1	100	900	+	sul1	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO17	ISO17_6	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO17	ISO17_7	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO17	ISO17_8	contig_1	100	900	+	tet(B)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO17	ISO17_9	contig_1	100	900	+	qnrS1	resistance gene	core	AMR	AMR	QUINOLONE		EXACTX
ISO17	ISO17_10	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO18	ISO18_1	contig_1	100	900	+	sul2	resistance gene	core	AMR	AMR	SULFONAMIDE		EXACTX
ISO18	ISO18_2	contig_1	100	900	+	tet(A)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO18	ISO18_3	contig_1	100	900	+	tet(B)	resistance gene	core	AMR	AMR	TETRACYCLINE		EXACTX
ISO18	ISO18_4	contig_1	100	900	+	floR	resistance gene	core	AMR	AMR	PHENICOL		EXACTX
ISO18	ISO18_5	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO19	ISO19_1	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
ISO20	ISO20_1	contig_1	100	900	+	mdtM	resistance gene	plus	AMR	AMR	EFFLUX		EXACTX
