Gene,Non-unique Gene name,Annotation,ISO01,ISO02,ISO03,ISO04,ISO05,ISO06,ISO07,ISO08,ISO09,ISO10,ISO11,ISO12,ISO13,ISO14,ISO15,ISO16,ISO17,ISO18,ISO19,ISO20,GCF_000005845.2,GCF_000010485.1
core_011,,conserved protein,ISO01_0011,ISO02_0011,ISO03_0011,ISO04_0011,ISO05_0011,ISO06_0011,ISO07_0011,ISO08_0011,ISO09_0011,ISO10_0011,ISO11_0011,ISO12_0011,ISO13_0011,ISO14_0011,ISO15_0011,ISO16_0011,ISO17_0011,ISO18_0011,ISO19_0011,ISO20_0011,GCF_000005845.2_0011,GCF_000010485.1_0011
core_012,,conserved protein,ISO01_0012,ISO02_0012,ISO03_0012,ISO04_0012,ISO05_0012,ISO06_0012,ISO07_0012,ISO08_0012,ISO09_0012,ISO10_0012,ISO11_0012,ISO12_0012,ISO13_0012,ISO14_0012,ISO15_0012,ISO16_0012,ISO17_0012,ISO18_0012,ISO19_0012,,GCF_000005845.2_0012,GCF_000010485.1_0012
core_013,,conserved protein,ISO01_0013,ISO02_0013,ISO03_0013,ISO04_0013,ISO05_0013,ISO06_0013,ISO07_0013,ISO08_0013,ISO09_0013,ISO10_0013,ISO11_0013,ISO12_0013,ISO13_0013,ISO14_0013,ISO15_0013,ISO16_0013,ISO17_0013,ISO18_0013,ISO19_0013,ISO20_0013,GCF_000005845.2_0013,GCF_000010485.1_0013
core_014,,conserved protein,ISO01_0014,ISO02_0014,ISO03_0014,ISO04_0014,ISO05_0014,ISO06_0014,ISO07_0014,ISO08_0014,ISO09_0014,ISO10_0014,ISO11_0014,ISO12_0014,ISO13_0014,ISO14_0014,ISO15_0014,ISO16_0014,ISO17_0014,ISO18_0014,ISO19_0014,ISO20_0014,GCF_000005845.2_0014,GCF_000010485.1_0014
core_015,,conserved protein,ISO01_0015,ISO02_0015,ISO03_0015,ISO04_0015,ISO05_0015,ISO06_0015,ISO07_0015,ISO08_0015,ISO09_0015,ISO10_0015,ISO11_0015,ISO12_0015,ISO13_0015,ISO14_0015,ISO15_0015,ISO16_0015,ISO17_0015,ISO18_0015,ISO19_0015,ISO20_0015,GCF_000005845.2_0015,GCF_000010485.1_0015
core_016,,conserved protein,ISO01_0016,ISO02_0016,ISO03_0016,ISO04_0016,ISO05_0016,ISO06_0016,ISO07_0016,ISO08_0016,ISO09_0016,ISO10_0016,ISO11_0016,ISO12_0016,ISO13_0016,ISO14_0016,ISO15_0016,ISO16_0016,ISO17_0016,ISO18_0016,ISO19_0016,ISO20_0016,GCF_000005845.2_0016,GCF_000010485.1_0016
core_017,,conserved protein,ISO01_0017,ISO02_0017,ISO03_0017,ISO04_0017,ISO05_0017,ISO06_0017,ISO07_0017,ISO08_0017,ISO09_0017,ISO10_0017,ISO11_0017,ISO12_0017,ISO13_0017,ISO14_0017,ISO15_0017,ISO16_0017,ISO17_0017,ISO18_0017,ISO19_0017,ISO20_0017,GCF_000005845.2_0017,GCF_000010485.1_0017
core_018,,conserved protein,ISO01_0018,,ISO03_0018,ISO04_0018,ISO05_0018,ISO06_0018,ISO07_0018,ISO08_0018,ISO09_0018,ISO10_0018,ISO11_0018,ISO12_0018,ISO13_0018,ISO14_0018,ISO15_0018,ISO16_0018,ISO17_0018,ISO18_0018,ISO19_0018,ISO20_0018,GCF_000005845.2_0018,GCF_000010485.1_0018
core_019,,conserved protein,ISO01_0019,ISO02_0019,ISO03_0019,ISO04_0019,ISO05_0019,ISO06_0019,ISO07_0019,ISO08_0019,ISO09_0019,ISO10_0019,ISO11_0019,ISO12_0019,ISO13_0019,ISO14_0019,ISO15_0019,ISO16_0019,ISO17_0019,ISO18_0019,ISO19_0019,ISO20_0019,GCF_000005845.2_0019,GCF_000010485.1_0019
core_020,,conserved protein,ISO01_0020,ISO02_0020,ISO03_0020,,ISO05_0020,ISO06_0020,ISO07_0020,ISO08_0020,ISO09_0020,ISO10_0020,ISO11_0020,ISO12_0020,ISO13_0020,ISO14_0020,ISO15_0020,ISO16_0020,ISO17_0020,ISO18_0020,ISO19_0020,ISO20_0020,GCF_000005845.2_0020,GCF_000010485.1_0020
core_021,,conserved protein,ISO01_0021,ISO02_0021,ISO03_0021,ISO04_0021,ISO05_0021,ISO06_0021,ISO07_0021,ISO08_0021,ISO09_0021,ISO10_0021,ISO11_0021,ISO12_0021,ISO13_0021,ISO14_0021,ISO15_0021,ISO16_0021,ISO17_0021,ISO18_0021,ISO19_0021,ISO20_0021,GCF_000005845.2_0021,GCF_000010485.1_0021
core_022,,conserved protein,ISO01_0022,ISO02_0022,ISO03_0022,ISO04_0022,ISO05_0022,ISO06_0022,ISO07_0022,ISO08_0022,ISO09_0022,ISO10_0022,ISO11_0022,ISO12_0022,ISO13_0022,ISO14_0022,ISO15_0022,ISO16_0022,ISO17_0022,ISO18_0022,ISO19_0022,ISO20_0022,GCF_000005845.2_0022,GCF_000010485.1_0022
core_023,,conserved protein,ISO01_0023,ISO02_0023,ISO03_0023,ISO04_0023,ISO05_0023,ISO06_0023,ISO07_0023,ISO08_0023,ISO09_0023,ISO10_0023,ISO11_0023,ISO12_0023,ISO13_0023,ISO14_0023,ISO15_0023,ISO16_0023,ISO17_0023,ISO18_0023,ISO19_0023,ISO20_0023,GCF_000005845.2_0023,GCF_000010485.1_0023
core_024,,conserved protein,ISO01_0024,ISO02_0024,ISO03_0024,ISO04_0024,ISO05_0024,ISO06_0024,ISO07_0024,ISO08_0024,ISO09_0024,ISO10_0024,ISO11_0024,ISO12_0024,ISO13_0024,ISO14_0024,ISO15_0024,ISO16_0024,ISO17_0024,ISO18_0024,ISO19_0024,ISO20_0024,GCF_000005845.2_0024,GCF_000010485.1_0024
core_025,,conserved protein,ISO01_0025,ISO02_0025,ISO03_0025,ISO04_0025,ISO05_0025,ISO06_0025,ISO07_0025,ISO08_0025,ISO09_0025,ISO10_0025,ISO11_0025,ISO12_0025,ISO13_0025,ISO14_0025,ISO15_0025,ISO16_0025,ISO17_0025,ISO18_0025,ISO19_0025,ISO20_0025,GCF_000005845.2_0025,GCF_000010485.1_0025
core_026,,conserved protein,ISO01_0026,ISO02_0026,ISO03_0026,ISO04_0026,ISO05_0026,ISO06_0026,ISO07_0026,ISO08_0026,ISO09_0026,ISO10_0026,ISO11_0026,ISO12_0026,ISO13_0026,ISO14_0026,ISO15_0026,ISO16_0026,ISO17_0026,ISO18_0026,ISO19_0026,ISO20_0026,GCF_000005845.2_0026,GCF_000010485.1_0026
core_027,,conserved protein,ISO01_0027,ISO02_0027,ISO03_0027,ISO04_0027,ISO05_0027,ISO06_0027,ISO07_0027,ISO08_0027,ISO09_0027,ISO10_0027,ISO11_0027,ISO12_0027,ISO13_0027,ISO14_0027,ISO15_0027,ISO16_0027,ISO17_0027,ISO18_0027,ISO19_0027,ISO20_0027,GCF_000005845.2_0027,GCF_000010485.1_0027
core_028,,conserved protein,ISO01_0028,ISO02_0028,ISO03_0028,ISO04_0028,ISO05_0028,ISO06_0028,ISO07_0028,ISO08_0028,ISO09_0028,ISO10_0028,ISO11_0028,ISO12_0028,ISO13_0028,ISO14_0028,ISO15_0028,ISO16_0028,ISO17_0028,ISO18_0028,ISO19_0028,ISO20_0028,GCF_000005845.2_0028,GCF_000010485.1_0028
core_029,,conserved protein,ISO01_0029,ISO02_0029,ISO03_0029,ISO04_0029,ISO05_0029,ISO06_0029,ISO07_0029,ISO08_0029,ISO09_0029,ISO10_0029,ISO11_0029,ISO12_0029,ISO13_0029,ISO14_0029,ISO15_0029,ISO16_0029,ISO17_0029,ISO18_0029,ISO19_0029,ISO20_0029,GCF_000005845.2_0029,GCF_000010485.1_0029
core_030,,conserved protein,ISO01_0030,ISO02_0030,ISO03_0030,ISO04_0030,ISO05_0030,ISO06_0030,ISO07_0030,ISO08_0030,ISO09_0030,ISO10_0030,ISO11_0030,ISO12_0030,ISO13_0030,ISO14_0030,ISO15_0030,ISO16_0030,ISO17_0030,ISO18_0030,ISO19_0030,ISO20_0030,GCF_000005845.2_0030,GCF_000010485.1_0030
core_031,,conserved protein,ISO01_0031,ISO02_0031,ISO03_0031,ISO04_0031,ISO05_0031,ISO06_0031,ISO07_0031,ISO08_0031,ISO09_0031,ISO10_0031,ISO11_0031,ISO12_0031,ISO13_0031,ISO14_0031,ISO15_0031,ISO16_0031,ISO17_0031,ISO18_0031,ISO19_0031,ISO20_0031,GCF_000005845.2_0031,GCF_000010485.1_0031
core_032,,conserved protein,ISO01_0032,ISO02_0032,ISO03_0032,ISO04_0032,ISO05_0032,ISO06_0032,ISO07_0032,ISO08_0032,ISO09_0032,ISO10_0032,ISO11_0032,ISO12_0032,ISO13_0032,ISO14_0032,ISO15_0032,ISO16_0032,ISO17_0032,ISO18_0032,,ISO20_0032,GCF_000005845.2_0032,GCF_000010485.1_0032
core_033,,conserved protein,ISO01_0033,ISO02_0033,ISO03_0033,ISO04_0033,ISO05_0033,ISO06_0033,ISO07_0033,ISO08_0033,ISO09_0033,ISO10_0033,ISO11_0033,ISO12_0033,,ISO14_0033,ISO15_0033,ISO16_0033,ISO17_0033,ISO18_0033,ISO19_0033,ISO20_0033,GCF_000005845.2_0033,GCF_000010485.1_0033
core_034,,conserved protein,ISO01_0034,ISO02_0034,ISO03_0034,ISO04_0034,ISO05_0034,ISO06_0034,ISO07_0034,ISO08_0034,ISO09_0034,ISO10_0034,ISO11_0034,ISO12_0034,ISO13_0034,ISO14_0034,ISO15_0034,ISO16_0034,ISO17_0034,ISO18_0034,ISO19_0034,ISO20_0034,GCF_000005845.2_0034,GCF_000010485.1_0034
core_035,,conserved protein,ISO01_0035,ISO02_0035,ISO03_0035,ISO04_0035,ISO05_0035,ISO06_0035,ISO07_0035,ISO08_0035,ISO09_0035,ISO10_0035,ISO11_0035,ISO12_0035,ISO13_0035,ISO14_0035,ISO15_0035,ISO16_0035,ISO17_0035,ISO18_0035,ISO19_0035,ISO20_0035,GCF_000005845.2_0035,GCF_000010485.1_0035
core_036,,conserved protein,ISO01_0036,ISO02_0036,ISO03_0036,ISO04_0036,ISO05_0036,ISO06_0036,ISO07_0036,ISO08_0036,ISO09_0036,ISO10_0036,ISO11_0036,ISO12_0036,ISO13_0036,ISO14_0036,ISO15_0036,ISO16_0036,ISO17_0036,ISO18_0036,ISO19_0036,ISO20_0036,GCF_000005845.2_0036,GCF_000010485.1_0036
core_037,,conserved protein,ISO01_0037,ISO02_0037,ISO03_0037,ISO04_0037,ISO05_0037,ISO06_0037,ISO07_0037,ISO08_0037,ISO09_0037,ISO10_0037,ISO11_0037,ISO12_0037,ISO13_0037,ISO14_0037,ISO15_0037,ISO16_0037,ISO17_0037,ISO18_0037,ISO19_0037,ISO20_0037,GCF_000005845.2_0037,GCF_000010485.1_0037
core_038,,conserved protein,ISO01_0038,ISO02_0038,ISO03_0038,ISO04_0038,ISO05_0038,ISO06_0038,ISO07_0038,ISO08_0038,ISO09_0038,ISO10_0038,ISO11_0038,ISO12_0038,ISO13_0038,ISO14_0038,ISO15_0038,ISO16_0038,ISO17_0038,ISO18_0038,ISO19_0038,ISO20_0038,GCF_000005845.2_0038,GCF_000010485.1_0038
core_039,,conserved protein,ISO01_0039,ISO02_0039,ISO03_0039,ISO04_0039,ISO05_0039,ISO06_0039,ISO07_0039,ISO08_0039,ISO09_0039,,ISO11_0039,ISO12_0039,ISO13_0039,ISO14_0039,ISO15_0039,ISO16_0039,ISO17_0039,ISO18_0039,ISO19_0039,ISO20_0039,GCF_000005845.2_0039,GCF_000010485.1_0039
core_040,,conserved protein,ISO01_0040,ISO02_0040,ISO03_0040,ISO04_0040,ISO05_0040,ISO06_0040,ISO07_0040,ISO08_0040,ISO09_0040,ISO10_0040,ISO11_0040,ISO12_0040,ISO13_0040,ISO14_0040,ISO15_0040,ISO16_0040,ISO17_0040,ISO18_0040,ISO19_0040,ISO20_0040,GCF_000005845.2_0040,GCF_000010485.1_0040
core_041,,conserved protein,ISO01_0041,ISO02_0041,ISO03_0041,ISO04_0041,,ISO06_0041,ISO07_0041,ISO08_0041,ISO09_0041,ISO10_0041,ISO11_0041,ISO12_0041,ISO13_0041,ISO14_0041,ISO15_0041,ISO16_0041,ISO17_0041,ISO18_0041,ISO19_0041,ISO20_0041,GCF_000005845.2_0041,GCF_000010485.1_0041
core_042,,conserved protein,,ISO02_0042,ISO03_0042,ISO04_0042,ISO05_0042,ISO06_0042,ISO07_0042,ISO08_0042,ISO09_0042,ISO10_0042,ISO11_0042,ISO12_0042,ISO13_0042,ISO14_0042,ISO15_0042,ISO16_0042,ISO17_0042,ISO18_0042,ISO19_0042,ISO20_0042,GCF_000005845.2_0042,GCF_000010485.1_0042
core_043,,conserved protein,ISO01_0043,ISO02_0043,ISO03_0043,ISO04_0043,ISO05_0043,ISO06_0043,ISO07_0043,ISO08_0043,ISO09_0043,ISO10_0043,ISO11_0043,ISO12_0043,ISO13_0043,ISO14_0043,ISO15_0043,ISO16_0043,ISO17_0043,ISO18_0043,ISO19_0043,ISO20_0043,GCF_000005845.2_0043,GCF_000010485.1_0043
core_044,,conserved protein,ISO01_0044,ISO02_0044,ISO03_0044,,ISO05_0044,ISO06_0044,ISO07_0044,ISO08_0044,ISO09_0044,ISO10_0044,ISO11_0044,ISO12_0044,ISO13_0044,ISO14_0044,ISO15_0044,ISO16_0044,ISO17_0044,ISO18_0044,ISO19_0044,ISO20_0044,GCF_000005845.2_0044,GCF_000010485.1_0044
core_045,,conserved protein,ISO01_0045,ISO02_0045,ISO03_0045,ISO04_0045,ISO05_0045,ISO06_0045,ISO07_0045,ISO08_0045,ISO09_0045,ISO10_0045,ISO11_0045,ISO12_0045,ISO13_0045,ISO14_0045,ISO15_0045,ISO16_0045,ISO17_0045,ISO18_0045,ISO19_0045,ISO20_0045,GCF_000005845.2_0045,GCF_000010485.1_0045
core_046,,conserved protein,ISO01_0046,ISO02_0046,ISO03_0046,ISO04_0046,ISO05_0046,ISO06_0046,ISO07_0046,,ISO09_0046,ISO10_0046,ISO11_0046,ISO12_0046,ISO13_0046,ISO14_0046,ISO15_0046,ISO16_0046,ISO17_0046,ISO18_0046,ISO19_0046,ISO20_0046,GCF_000005845.2_0046,GCF_000010485.1_0046
core_047,,conserved protein,ISO01_0047,ISO02_0047,ISO03_0047,ISO04_0047,ISO05_0047,ISO06_0047,ISO07_0047,ISO08_0047,ISO09_0047,ISO10_0047,ISO11_0047,ISO12_0047,ISO13_0047,ISO14_0047,ISO15_0047,ISO16_0047,ISO17_0047,ISO18_0047,ISO19_0047,ISO20_0047,GCF_000005845.2_0047,GCF_000010485.1_0047
core_048,,conserved protein,ISO01_0048,ISO02_0048,ISO03_0048,ISO04_0048,ISO05_0048,ISO06_0048,ISO07_0048,ISO08_0048,ISO09_0048,ISO10_0048,ISO11_0048,ISO12_0048,ISO13_0048,ISO14_0048,ISO15_0048,ISO16_0048,ISO17_0048,,ISO19_0048,ISO20_0048,GCF_000005845.2_0048,GCF_000010485.1_0048
core_049,,conserved protein,ISO01_0049,ISO02_0049,ISO03_0049,ISO04_0049,ISO05_0049,ISO06_0049,,ISO08_0049,ISO09_0049,ISO10_0049,ISO11_0049,ISO12_0049,ISO13_0049,ISO14_0049,ISO15_0049,ISO16_0049,ISO17_0049,ISO18_0049,ISO19_0049,ISO20_0049,GCF_000005845.2_0049,GCF_000010485.1_0049
core_050,,conserved protein,ISO01_0050,ISO02_0050,ISO03_0050,ISO04_0050,ISO05_0050,ISO06_0050,ISO07_0050,ISO08_0050,ISO09_0050,ISO10_0050,ISO11_0050,ISO12_0050,ISO13_0050,ISO14_0050,ISO15_0050,ISO16_0050,ISO17_0050,ISO18_0050,ISO19_0050,ISO20_0050,GCF_000005845.2_0050,GCF_000010485.1_0050
core_051,,conserved protein,ISO01_0051,ISO02_0051,ISO03_0051,ISO04_0051,ISO05_0051,ISO06_0051,ISO07_0051,ISO08_0051,ISO09_0051,ISO10_0051,ISO11_0051,ISO12_0051,ISO13_0051,ISO14_0051,ISO15_0051,ISO16_0051,ISO17_0051,,ISO19_0051,ISO20_0051,GCF_000005845.2_0051,GCF_000010485.1_0051
core_052,,conserved protein,ISO01_0052,ISO02_0052,ISO03_0052,ISO04_0052,ISO05_0052,ISO06_0052,ISO07_0052,ISO08_0052,ISO09_0052,ISO10_0052,ISO11_0052,ISO12_0052,ISO13_0052,ISO14_0052,ISO15_0052,ISO16_0052,ISO17_0052,ISO18_0052,ISO19_0052,ISO20_0052,GCF_000005845.2_0052,GCF_000010485.1_0052
core_053,,conserved protein,ISO01_0053,ISO02_0053,ISO03_0053,ISO04_0053,ISO05_0053,ISO06_0053,ISO07_0053,ISO08_0053,ISO09_0053,ISO10_0053,ISO11_0053,ISO12_0053,ISO13_0053,ISO14_0053,ISO15_0053,ISO16_0053,ISO17_0053,ISO18_0053,ISO19_0053,ISO20_0053,GCF_000005845.2_0053,GCF_000010485.1_0053
core_054,,conserved protein,ISO01_0054,ISO02_0054,ISO03_0054,ISO04_0054,ISO05_0054,ISO06_0054,ISO07_0054,ISO08_0054,ISO09_0054,ISO10_0054,ISO11_0054,ISO12_0054,ISO13_0054,ISO14_0054,ISO15_0054,ISO16_0054,ISO17_0054,ISO18_0054,ISO19_0054,ISO20_0054,GCF_000005845.2_0054,GCF_000010485.1_0054
core_055,,conserved protein,ISO01_0055,ISO02_0055,ISO03_0055,ISO04_0055,ISO05_0055,ISO06_0055,ISO07_0055,ISO08_0055,ISO09_0055,ISO10_0055,ISO11_0055,ISO12_0055,ISO13_0055,ISO14_0055,ISO15_0055,ISO16_0055,ISO17_0055,ISO18_0055,ISO19_0055,ISO20_0055,GCF_000005845.2_0055,
core_056,,conserved protein,ISO01_0056,ISO02_0056,ISO03_0056,ISO04_0056,ISO05_0056,ISO06_0056,ISO07_0056,ISO08_0056,ISO09_0056,ISO10_0056,ISO11_0056,ISO12_0056,ISO13_0056,ISO14_0056,ISO15_0056,ISO16_0056,ISO17_0056,ISO18_0056,ISO19_0056,ISO20_0056,GCF_000005845.2_0056,GCF_000010485.1_0056
core_057,,conserved protein,ISO01_0057,ISO02_0057,ISO03_0057,ISO04_0057,ISO05_0057,ISO06_0057,ISO07_0057,ISO08_0057,ISO09_0057,ISO10_0057,ISO11_0057,ISO12_0057,ISO13_0057,ISO14_0057,ISO15_0057,ISO16_0057,ISO17_0057,ISO18_0057,ISO19_0057,ISO20_0057,GCF_000005845.2_0057,GCF_000010485.1_0057
core_058,,conserved protein,ISO01_0058,ISO02_0058,ISO03_0058,ISO04_0058,ISO05_0058,ISO06_0058,ISO07_0058,ISO08_0058,ISO09_0058,ISO10_0058,ISO11_0058,ISO12_0058,ISO13_0058,ISO14_0058,ISO15_0058,ISO16_0058,ISO17_0058,ISO18_0058,ISO19_0058,ISO20_0058,GCF_000005845.2_0058,GCF_000010485.1_0058
core_059,,conserved protein,ISO01_0059,ISO02_0059,ISO03_0059,ISO04_0059,ISO05_0059,ISO06_0059,ISO07_0059,ISO08_0059,ISO09_0059,ISO10_0059,ISO11_0059,ISO12_0059,ISO13_0059,ISO14_0059,ISO15_0059,ISO16_0059,ISO17_0059,ISO18_0059,ISO19_0059,ISO20_0059,GCF_000005845.2_0059,GCF_000010485.1_0059
core_060,,conserved protein,ISO01_0060,ISO02_0060,ISO03_0060,ISO04_0060,ISO05_0060,ISO06_0060,ISO07_0060,ISO08_0060,ISO09_0060,ISO10_0060,ISO11_0060,ISO12_0060,ISO13_0060,ISO14_0060,ISO15_0060,ISO16_0060,ISO17_0060,,ISO19_0060,ISO20_0060,GCF_000005845.2_0060,GCF_000010485.1_0060
core_061,,conserved protein,ISO01_0061,ISO02_0061,ISO03_0061,ISO04_0061,ISO05_0061,ISO06_0061,ISO07_0061,ISO08_0061,ISO09_0061,ISO10_0061,ISO11_0061,ISO12_0061,ISO13_0061,ISO14_0061,ISO15_0061,,ISO17_0061,ISO18_0061,ISO19_0061,ISO20_0061,GCF_000005845.2_0061,GCF_000010485.1_0061
core_062,,conserved protein,ISO01_0062,ISO02_0062,ISO03_0062,ISO04_0062,ISO05_0062,ISO06_0062,ISO07_0062,ISO08_0062,ISO09_0062,ISO10_0062,ISO11_0062,ISO12_0062,ISO13_0062,ISO14_0062,ISO15_0062,ISO16_0062,ISO17_0062,ISO18_0062,ISO19_0062,ISO20_0062,GCF_000005845.2_0062,GCF_000010485.1_0062
core_063,,conserved protein,ISO01_0063,ISO02_0063,ISO03_0063,ISO04_0063,ISO05_0063,ISO06_0063,,ISO08_0063,ISO09_0063,,ISO11_0063,ISO12_0063,ISO13_0063,ISO14_0063,ISO15_0063,ISO16_0063,ISO17_0063,ISO18_0063,ISO19_0063,ISO20_0063,GCF_000005845.2_0063,GCF_000010485.1_0063
core_064,,conserved protein,ISO01_0064,ISO02_0064,ISO03_0064,ISO04_0064,ISO05_0064,ISO06_0064,ISO07_0064,ISO08_0064,ISO09_0064,ISO10_0064,ISO11_0064,ISO12_0064,ISO13_0064,ISO14_0064,ISO15_0064,ISO16_0064,ISO17_0064,ISO18_0064,ISO19_0064,ISO20_0064,GCF_000005845.2_0064,GCF_000010485.1_0064
core_065,,conserved protein,ISO01_0065,ISO02_0065,ISO03_0065,ISO04_0065,ISO05_0065,ISO06_0065,ISO07_0065,ISO08_0065,ISO09_0065,ISO10_0065,ISO11_0065,ISO12_0065,ISO13_0065,ISO14_0065,ISO15_0065,ISO16_0065,ISO17_0065,ISO18_0065,ISO19_0065,ISO20_0065,,GCF_000010485.1_0065
core_066,,conserved protein,ISO01_0066,ISO02_0066,ISO03_0066,ISO04_0066,ISO05_0066,ISO06_0066,ISO07_0066,ISO08_0066,ISO09_0066,ISO10_0066,ISO11_0066,ISO12_0066,ISO13_0066,ISO14_0066,ISO15_0066,ISO16_0066,ISO17_0066,ISO18_0066,ISO19_0066,ISO20_0066,GCF_000005845.2_0066,GCF_000010485.1_0066
core_067,,conserved protein,ISO01_0067,ISO02_0067,ISO03_0067,ISO04_0067,ISO05_0067,ISO06_0067,ISO07_0067,ISO08_0067,ISO09_0067,ISO10_0067,ISO11_0067,ISO12_0067,ISO13_0067,ISO14_0067,ISO15_0067,ISO16_0067,ISO17_0067,ISO18_0067,ISO19_0067,ISO20_0067,GCF_000005845.2_0067,GCF_000010485.1_0067
core_068,,conserved protein,ISO01_0068,ISO02_0068,ISO03_0068,ISO04_0068,ISO05_0068,ISO06_0068,ISO07_0068,ISO08_0068,ISO09_0068,ISO10_0068,ISO11_0068,ISO12_0068,ISO13_0068,ISO14_0068,ISO15_0068,ISO16_0068,ISO17_0068,ISO18_0068,ISO19_0068,ISO20_0068,GCF_000005845.2_0068,GCF_000010485.1_0068
core_069,,conserved protein,ISO01_0069,ISO02_0069,ISO03_0069,ISO04_0069,ISO05_0069,ISO06_0069,ISO07_0069,ISO08_0069,ISO09_0069,ISO10_0069,ISO11_0069,ISO12_0069,ISO13_0069,ISO14_0069,ISO15_0069,ISO16_0069,ISO17_0069,ISO18_0069,ISO19_0069,ISO20_0069,GCF_000005845.2_0069,GCF_000010485.1_0069
core_070,,conserved protein,ISO01_0070,ISO02_0070,ISO03_0070,ISO04_0070,ISO05_0070,ISO06_0070,ISO07_0070,ISO08_0070,ISO09_0070,ISO10_0070,ISO11_0070,ISO12_0070,ISO13_0070,ISO14_0070,ISO15_0070,ISO16_0070,ISO17_0070,ISO18_0070,ISO19_0070,ISO20_0070,GCF_000005845.2_0070,GCF_000010485.1_0070
